state,state_code,state_name,county_code,county
AL,01,Alabama,001,Autauga County
AL,01,Alabama,003,Baldwin County
AL,01,Alabama,005,Barbour County
AL,01,Alabama,007,Bibb County
AL,01,Alabama,009,Blount County
AL,01,Alabama,011,Bullock County
AL,01,Alabama,013,Butler County
AL,01,Alabama,015,Calhoun County
AL,01,Alabama,017,Chambers County
AL,01,Alabama,019,Cherokee County
AL,01,Alabama,021,Chilton County
AL,01,Alabama,023,Choctaw County
AL,01,Alabama,025,Clarke County
AL,01,Alabama,027,Clay County
AL,01,Alabama,029,Cleburne County
AL,01,Alabama,031,Coffee County
AL,01,Alabama,033,Colbert County
AL,01,Alabama,035,Conecuh County
AL,01,Alabama,037,Coosa County
AL,01,Alabama,039,Covington County
AL,01,Alabama,041,Crenshaw County
AL,01,Alabama,043,Cullman County
AL,01,Alabama,045,Dale County
AL,01,Alabama,047,Dallas County
AL,01,Alabama,049,DeKalb County
AL,01,Alabama,051,Elmore County
AL,01,Alabama,053,Escambia County
AL,01,Alabama,055,Etowah County
AL,01,Alabama,057,Fayette County
AL,01,Alabama,059,Franklin County
AL,01,Alabama,061,Geneva County
AL,01,Alabama,063,Greene County
AL,01,Alabama,065,Hale County
AL,01,Alabama,067,Henry County
AL,01,Alabama,069,Houston County
AL,01,Alabama,071,Jackson County
AL,01,Alabama,073,Jefferson County
AL,01,Alabama,075,Lamar County
AL,01,Alabama,077,Lauderdale County
AL,01,Alabama,079,Lawrence County
AL,01,Alabama,081,Lee County
AL,01,Alabama,083,Limestone County
AL,01,Alabama,085,Lowndes County
AL,01,Alabama,087,Macon County
AL,01,Alabama,089,Madison County
AL,01,Alabama,091,Marengo County
AL,01,Alabama,093,Marion County
AL,01,Alabama,095,Marshall County
AL,01,Alabama,097,Mobile County
AL,01,Alabama,099,Monroe County
AL,01,Alabama,101,Montgomery County
AL,01,Alabama,103,Morgan County
AL,01,Alabama,105,Perry County
AL,01,Alabama,107,Pickens County
AL,01,Alabama,109,Pike County
AL,01,Alabama,111,Randolph County
AL,01,Alabama,113,Russell County
AL,01,Alabama,115,St. Clair County
AL,01,Alabama,117,Shelby County
AL,01,Alabama,119,Sumter County
AL,01,Alabama,121,Talladega County
AL,01,Alabama,123,Tallapoosa County
AL,01,Alabama,125,Tuscaloosa County
AL,01,Alabama,127,Walker County
AL,01,Alabama,129,Washington County
AL,01,Alabama,131,Wilcox County
AL,01,Alabama,133,Winston County
